tingkat_pendidikan,jenis_sekolah,jumlah_sekolah,jumlah_guru,jumlah_murid,jumlah_ruang_kelas,id
T.K./Kindergarten,negeri,17.0,103.0,836.0,42.0,0
T.K./Kindergarten,swasta,1957.0,10345.0,82795.0,5867.0,1
S.D/ElementarySchool,negeri,2208.0,28271.0,632106.0,15944.0,2
S.D/ElementarySchool,swasta,839.0,13890.0,193865.0,9061.0,3
SLTP/JuniorHighSchool,negeri,326.0,11359.0,204174.0,5934.0,4
SLTP/JuniorHighSchool,swasta,696.0,11369.0,141298.0,5213.0,5
SMU/SeniorHighSchool,negeri,122.0,6043.0,81491.0,2478.0,6
SMU/SeniorHighSchool,swasta,358.0,7466.0,61475.0,3056.0,7
SMK/SeniorVocationalHighSchool,negeri,63.0,3030.0,38898.0,1163.0,8
SMK/SeniorVocationalHighSchool,swasta,530.0,12360.0,148276.0,5277.0,9
