tahun,nama_kota_administrasi,jenis_sekolah,jumlah_sekolah,jumlah_guru,jumlah_murid,jumlah_ruang_kelas,id
2013 s.d 2014,Kepulauan Seribu,Negeri,14.0,207.0,1803.0,110.0,0
2013 s.d 2014,Kepulauan Seribu,Swasta,0.0,0.0,0.0,0.0,1
2013 s.d 2014,Jakarta Selatan,Negeri,521.0,6567.0,137512.0,3620.0,2
2013 s.d 2014,Jakarta Selatan,Swasta,154.0,2952.0,37136.0,1646.0,3
2013 s.d 2014,Jakarta Timur,Negeri,672.0,8986.0,202408.0,5098.0,4
2013 s.d 2014,Jakarta Timur,Swasta,177.0,3138.0,45939.0,2777.0,5
2013 s.d 2014,Jakarta Pusat,Negeri,276.0,3167.0,63239.0,1948.0,6
2013 s.d 2014,Jakarta Pusat,Swasta,104.0,1434.0,18795.0,800.0,7
2013 s.d 2014,Jakarta Barat,Negeri,456.0,5726.0,136877.0,3132.0,8
2013 s.d 2014,Jakarta Barat,Swasta,222.0,3568.0,48006.0,2107.0,9
2013 s.d 2014,Jakarta Utara,Negeri,269.0,3618.0,90267.0,2036.0,10
2013 s.d 2014,Jakarta Utara,Swasta,182.0,2798.0,43989.0,1731.0,11
