"tahun","nama_kota_administrasi","jenis_sekolah","jumlah_sekolah","jumlah_guru","jumlah_murid","jumlah_ruang_kelas","id"
"2013 s.d 2014","Kepulauan Seribu","Negeri","1.0","24.0","220.0","12.0","0"
"2013 s.d 2014","Kepulauan Seribu","Swasta","0.0","0.0","0.0","0.0","1"
"2013 s.d 2014","Jakarta Selatan","Negeri","18.0","783.0","11575.0","318.0","2"
"2013 s.d 2014","Jakarta Selatan","Swasta","120.0","2832.0","36957.0","1290.0","3"
"2013 s.d 2014","Jakarta Timur","Negeri","13.0","726.0","10316.0","264.0","4"
"2013 s.d 2014","Jakarta Timur","Swasta","180.0","4257.0","56252.0","1782.0","5"
"2013 s.d 2014","Jakarta Pusat","Negeri","14.0","645.0","8788.0","230.0","6"
"2013 s.d 2014","Jakarta Pusat","Swasta","55.0","1270.0","13380.0","508.0","7"
"2013 s.d 2014","Jakarta Barat","Negeri","9.0","427.0","4455.0","174.0","8"
"2013 s.d 2014","Jakarta Barat","Swasta","105.0","2342.0","25938.0","1058.0","9"
"2013 s.d 2014","Jakarta Utara","Negeri","8.0","425.0","3544.0","165.0","10"
"2013 s.d 2014","Jakarta Utara","Swasta","70.0","1659.0","15749.0","639.0","11"
