"tahun","nama_kota_administrasi","jenis_sekolah","kelas","jumlah","id"
"2013 s.d 2014","Kepulauan Seribu","Negeri","I","0.0","0"
"2013 s.d 2014","Kepulauan Seribu","Negeri","II","0.0","1"
"2013 s.d 2014","Kepulauan Seribu","Negeri","III","0.0","2"
"2013 s.d 2014","Kepulauan Seribu","Swasta","I","0.0","3"
"2013 s.d 2014","Kepulauan Seribu","Swasta","II","0.0","4"
"2013 s.d 2014","Kepulauan Seribu","Swasta","III","0.0","5"
"2013 s.d 2014","Jakarta Selatan","Negeri","I","41.0","6"
"2013 s.d 2014","Jakarta Selatan","Negeri","II","52.0","7"
"2013 s.d 2014","Jakarta Selatan","Negeri","III","25.0","8"
"2013 s.d 2014","Jakarta Selatan","Swasta","I","204.0","9"
"2013 s.d 2014","Jakarta Selatan","Swasta","II","171.0","10"
"2013 s.d 2014","Jakarta Selatan","Swasta","III","69.0","11"
"2013 s.d 2014","Jakarta Timur","Negeri","I","59.0","12"
"2013 s.d 2014","Jakarta Timur","Negeri","II","17.0","13"
"2013 s.d 2014","Jakarta Timur","Negeri","III","2.0","14"
"2013 s.d 2014","Jakarta Timur","Swasta","I","209.0","15"
"2013 s.d 2014","Jakarta Timur","Swasta","II","155.0","16"
"2013 s.d 2014","Jakarta Timur","Swasta","III","37.0","17"
"2013 s.d 2014","Jakarta Pusat","Negeri","I","54.0","18"
"2013 s.d 2014","Jakarta Pusat","Negeri","II","32.0","19"
"2013 s.d 2014","Jakarta Pusat","Negeri","III","10.0","20"
"2013 s.d 2014","Jakarta Pusat","Swasta","I","24.0","21"
"2013 s.d 2014","Jakarta Pusat","Swasta","II","42.0","22"
"2013 s.d 2014","Jakarta Pusat","Swasta","III","17.0","23"
"2013 s.d 2014","Jakarta Barat","Negeri","I","24.0","24"
"2013 s.d 2014","Jakarta Barat","Negeri","II","6.0","25"
"2013 s.d 2014","Jakarta Barat","Negeri","III","0.0","26"
"2013 s.d 2014","Jakarta Barat","Swasta","I","66.0","27"
"2013 s.d 2014","Jakarta Barat","Swasta","II","77.0","28"
"2013 s.d 2014","Jakarta Barat","Swasta","III","26.0","29"
"2013 s.d 2014","Jakarta Utara","Negeri","I","1.0","30"
"2013 s.d 2014","Jakarta Utara","Negeri","II","1.0","31"
"2013 s.d 2014","Jakarta Utara","Negeri","III","1.0","32"
"2013 s.d 2014","Jakarta Utara","Swasta","I","67.0","33"
"2013 s.d 2014","Jakarta Utara","Swasta","II","45.0","34"
"2013 s.d 2014","Jakarta Utara","Swasta","III","3.0","35"
